query_id,model,category,complexity_level,paraphrase_group_id,is_standard_wording,expected_function,actual_function,expected_parameters,actual_parameters,function_correct,parameters_correct,parameter_level_accuracy,execution_success,fully_correct_call,answer_correct,list_recall,latency_total,latency_tool_call,latency_sql,latency_final_answer,error_category,final_answer,expected_answer_values
q01,qwen/qwen3-32b,metadata,L1,g01,True,list_queryable_floors,list_queryable_floors,{},{},True,True,1.0,True,True,True,1.0,1859.7431000089273,899.2511999676935,0.019400031305849552,960.4725000099279,none,"The queryable floors in this building are:  
- **Basement (Untergeschoss, Floor ID: 126801)**  
- **Ground Floor (Erdgeschoss, Floor ID: 126802)**  
- **1st Upper Floor (1. Obergeschoss, Floor ID: 126803)**  
- **2nd Upper Floor (2. Obergeschoss, Floor ID: 126804)**  
- **Attic (Dachgeschoss, Floor ID: 159901)**  

Data source: `floor` table.","['Untergeschoss', 'Erdgeschoss', '1. Obergeschoss', '2. Obergeschoss', 'Dachgeschoss']"
q02,qwen/qwen3-32b,metadata,L1,g01,False,list_queryable_floors,list_queryable_floors,{},{},True,True,1.0,True,True,True,1.0,1724.8653998831287,514.6016999497078,0.020199979189783335,1210.243499954231,none,"The available floors are: Untergeschoss (ID 126801, order index -1), Erdgeschoss (ID 126802, order index 0, elevation 418.34), 1. Obergeschoss (ID 126803, order index 1), 2. Obergeschoss (ID 126804, order index 2), and Dachgeschoss (ID 159901, order index 1000). Elevation data is only available for Erdgeschoss. (Scope: floor; source: floor table)","['Untergeschoss', 'Erdgeschoss', '1. Obergeschoss', '2. Obergeschoss', 'Dachgeschoss']"
q03,qwen/qwen3-32b,metadata,L1,g01,False,list_queryable_floors,list_queryable_floors,{},{},True,True,1.0,True,True,True,1.0,11488.348999992013,414.08790001878515,0.02139998832717538,11074.2396999849,none,"The facility includes 5 storeys: Untergeschoss (Basement, order index -1), Erdgeschoss (Ground Floor, order index 0 with elevation 418.34), 1. Obergeschoss (order index 1), 2. Obergeschoss (order index 2), and Dachgeschoss (Attic, order index 1000). Elevation data is unavailable for all except Erdgeschoss.","['Untergeschoss', 'Erdgeschoss', '1. Obergeschoss', '2. Obergeschoss', 'Dachgeschoss']"
q04,qwen/qwen3-32b,metadata,L1,g02,True,list_queryable_component_types,list_queryable_component_types,{},{},True,True,1.0,True,True,True,,18735.091399983503,14511.881299957167,0.024900014977902174,4223.185200011358,none,"The available component types include **IfcWindow** (272), **IfcWallStandardCase** (268), **IfcSlab** (245), **IfcDoor** (123), **IfcColumn** (64), and others like **IfcBuildingElementProxy** (60) and **IfcSpaceHeater** (59), all sourced from the `asset_component` table. Additional types such as **IfcSensor**, **IfcFan**, and **IfcStair** are also present in smaller quantities (50, 25, and 3 respectively), with 5 more types not listed explicitly.",[]
q05,qwen/qwen3-32b,metadata,L1,g02,False,list_queryable_component_types,list_queryable_component_types,{},{},True,True,1.0,True,True,True,,31454.947200021707,18531.711899966467,0.027600035537034273,12923.207700019702,none,"You can ask about 25+ BIM element types such as **IfcWindow** (272 items), **IfcWallStandardCase** (268), **IfcSlab** (245), **IfcDoor** (123), and others like **IfcColumn**, **IfcBuildingElementProxy**, and **IfcSensor**. These counts are sourced from the `asset_component` table. Let me know if you'd like details on a specific type.",[]
q06,qwen/qwen3-32b,metadata,L1,g02,False,list_queryable_component_types,list_queryable_component_types,{},{},True,True,1.0,True,True,True,,23875.275699945632,10539.036399975885,0.028799986466765404,13336.21049998328,none,"The asset component categories include types like **IfcWindow** (272), **IfcWallStandardCase** (268), **IfcSlab** (245), **IfcDoor** (123), and **IfcColumn** (64), among others. These categories are sourced from the `asset_component` table. Additional types such as **IfcSensor**, **IfcFan**, and **IfcStair** are also available, with the full list containing 28 distinct component types (only the first 23 shown here).",[]
q07,qwen/qwen3-32b,metadata,L1,g03,True,get_database_capabilities,get_database_capabilities,{},{},True,True,1.0,True,True,True,,27214.821900008246,19014.558300026692,0.02889998722821474,8200.234699994326,none,"This assistant can help you query facility data for **facility ID 124851**, including listing floors (e.g., ""Untergeschoss,"" ""Erdgeschoss"") and component types (e.g., ""IfcWindow,"" ""IfcWallStandardCase""), counting components (optionally per floor), retrieving attributes (height, width, area), calculating total/stored area, and comparing counts/areas across floors. It does **not** support equipment inventories or maintenance schedules due to missing database tables.",[]
q08,qwen/qwen3-32b,metadata,L1,g03,False,get_database_capabilities,get_database_capabilities,{},{},True,True,1.0,True,True,True,,17489.13120001089,9532.093500019982,0.02500001573935151,7957.0126999751665,none,"For facility **124851**, I can answer questions about:  
- Listing floors (e.g., ""Dachgeschoss"") or component types (e.g., ""IfcWindow"", ""IfcWallStandardCase"").  
- Counting components (per floor or total), their attributes (height, width, area), and total/stored area.  
- Comparing areas or counts between floors.  

Not supported: Equipment inventories or maintenance schedules.  
Component types and floor names are defined in the IFC model.",[]
q09,qwen/qwen3-32b,counting,L2,g04,True,count_components,count_components,"{'component_type': 'IfcWindow', 'floor': '2. Obergeschoss'}","{'component_type': 'IfcWindow', 'floor': '2. Obergeschoss'}",True,True,1.0,True,True,True,,18398.46860000398,13631.54959998792,91.62000002106652,4675.298999994993,none,"The second floor (""2. Obergeschoss"") has 52 windows (IfcWindow). This data is sourced from facility ID 124851.",[52]
q10,qwen/qwen3-32b,counting,L2,g04,False,count_components,count_components,"{'component_type': 'IfcWindow', 'floor': '2. Obergeschoss'}","{'component_type': 'IfcWindow', 'floor': '2. Obergeschoss'}",True,True,1.0,True,True,True,,20532.04420011025,13778.248700022232,107.4837000342086,6646.311800053809,none,There are 52 windows on level two (component type: IfcWindow).,[52]
