table_schema,table_name,index_name,index_def
public,acceptance,idx_speed_acceptance_company_id,CREATE INDEX idx_speed_acceptance_company_id ON public.acceptance USING btree (company_id)
public,acceptance,idx_speed_acceptance_floor_id,CREATE INDEX idx_speed_acceptance_floor_id ON public.acceptance USING btree (floor_id)
public,acceptance,idx_speed_acceptance_system_id,CREATE INDEX idx_speed_acceptance_system_id ON public.acceptance USING btree (system_id)
public,acceptance,idx_speed_acceptance_task_id,CREATE INDEX idx_speed_acceptance_task_id ON public.acceptance USING btree (task_id)
public,acceptance,idx_speed_acceptance_technical_system_id,CREATE INDEX idx_speed_acceptance_technical_system_id ON public.acceptance USING btree (technical_system_id)
public,acceptance,pk_acceptance,CREATE UNIQUE INDEX pk_acceptance ON public.acceptance USING btree (id)
public,ai_chat,ai_chat_pkey,CREATE UNIQUE INDEX ai_chat_pkey ON public.ai_chat USING btree (id)
public,ai_chat_reaction,ai_chat_reaction_pkey,CREATE UNIQUE INDEX ai_chat_reaction_pkey ON public.ai_chat_reaction USING btree (id)
public,ai_chat_reaction,ux_ai_chat_reaction_timestamp_chat,"CREATE UNIQUE INDEX ux_ai_chat_reaction_timestamp_chat ON public.ai_chat_reaction USING btree (timestamp_identifier, ai_chat_id)"
public,alert,pk_alert,CREATE UNIQUE INDEX pk_alert ON public.alert USING btree (id)
public,alert,ux_alert_task_id,CREATE UNIQUE INDEX ux_alert_task_id ON public.alert USING btree (task_id)
public,alert_log_entry,pk_alert_log_entry,CREATE UNIQUE INDEX pk_alert_log_entry ON public.alert_log_entry USING btree (id)
public,alert_priority,pk_alert_priority,CREATE UNIQUE INDEX pk_alert_priority ON public.alert_priority USING btree (id)
public,api_key,api_key_pkey,CREATE UNIQUE INDEX api_key_pkey ON public.api_key USING btree (id)
public,asset_component,idx_asset_component_ext_object_system_id_owning_facility_id,"CREATE INDEX idx_asset_component_ext_object_system_id_owning_facility_id ON public.asset_component USING btree (name, system_id, owning_facility_id)"
public,asset_component,idx_speed_asset_component_created_by_id,CREATE INDEX idx_speed_asset_component_created_by_id ON public.asset_component USING btree (created_by_id)
public,asset_component,idx_speed_asset_component_ext_identifier_owning_facility_id,"CREATE INDEX idx_speed_asset_component_ext_identifier_owning_facility_id ON public.asset_component USING btree (ext_identifier, owning_facility_id)"
public,asset_component,idx_speed_asset_component_model_id,CREATE INDEX idx_speed_asset_component_model_id ON public.asset_component USING btree (model_id)
public,asset_component,idx_speed_asset_component_system_id,CREATE INDEX idx_speed_asset_component_system_id ON public.asset_component USING btree (system_id)
public,asset_component,idx_speed_asset_component_type_id,CREATE INDEX idx_speed_asset_component_type_id ON public.asset_component USING btree (type_id)
public,asset_component,pk_asset_component,CREATE UNIQUE INDEX pk_asset_component ON public.asset_component USING btree (id)
public,asset_component_assembly,idx_speed_asset_component_assembly_created_by_id,CREATE INDEX idx_speed_asset_component_assembly_created_by_id ON public.asset_component_assembly USING btree (created_by_id)
public,asset_component_assembly,idx_speed_asset_component_assembly_ext_identifier_owning_facili,"CREATE INDEX idx_speed_asset_component_assembly_ext_identifier_owning_facili ON public.asset_component_assembly USING btree (ext_identifier, owning_facility_id)"
public,asset_component_assembly,idx_speed_asset_component_assembly_model_id,CREATE INDEX idx_speed_asset_component_assembly_model_id ON public.asset_component_assembly USING btree (model_id)
public,asset_component_assembly,idx_speed_asset_component_assembly_parent_id,CREATE INDEX idx_speed_asset_component_assembly_parent_id ON public.asset_component_assembly USING btree (parent_id)
public,asset_component_assembly,idx_speed_asset_component_assembly_system_id,CREATE INDEX idx_speed_asset_component_assembly_system_id ON public.asset_component_assembly USING btree (system_id)
public,asset_component_assembly,pk_asset_component_assembly,CREATE UNIQUE INDEX pk_asset_component_assembly ON public.asset_component_assembly USING btree (id)
