table_schema,table_name,column_name,data_type,matched_terms
public,acceptance,category,character varying,category
public,acceptance,start_date,timestamp without time zone,date
public,acceptance,end_date,timestamp without time zone,date
public,acceptance,floor_id,bigint,floor
public,acceptance,created_date,timestamp without time zone,date
public,acceptance,last_modified_date,timestamp without time zone,date
public,acceptance,sub_project_id,bigint,project
public,ai_chat,guid,character varying,guid
public,ai_chat,owning_facility_id,bigint,facility
public,ai_chat,created_date,timestamp without time zone,date
public,ai_chat,last_modified_date,timestamp without time zone,date
public,ai_chat_reaction,created_date,timestamp without time zone,date
public,ai_chat_reaction,last_modified_date,timestamp without time zone,date
public,alert,category,character varying,category
public,alert,image_guid,character varying,guid
public,alert,facility_id,bigint,facility
public,alert,floor_id,bigint,floor
public,alert,space_id,bigint,space
public,alert,component_id,bigint,component
public,alert,project_id,bigint,project
public,alert,created_date,timestamp without time zone,date
public,alert,last_modified_date,timestamp without time zone,date
public,alert_priority,project_id,bigint,project
public,alert_priority,created_date,timestamp without time zone,date
public,alert_priority,last_modified_date,timestamp without time zone,date
public,alert_priority_aud,project_id,bigint,project
public,alert_priority_aud,revtype,smallint,type
public,alert_priority_aud,created_date,timestamp without time zone,date
public,alert_priority_aud,last_modified_date,timestamp without time zone,date
public,api_key,created_date,timestamp without time zone,date
public,api_key,last_modified_date,timestamp without time zone,date
public,asset_component,id,bigint,"asset, component"
public,asset_component,name,character varying,"asset, component"
public,asset_component,created_on,timestamp without time zone,"asset, component"
public,asset_component,ext_system,character varying,"asset, component"
public,asset_component,ext_object,character varying,"asset, component, object"
public,asset_component,ext_identifier,character varying,"asset, component"
public,asset_component,category,character varying,"asset, category, component"
public,asset_component,serial_number,character varying,"asset, component"
public,asset_component,installation_date,date,"asset, component, date"
public,asset_component,warranty_start_date,date,"asset, component, date"
public,asset_component,asset_identifier,character varying,"asset, component"
public,asset_component,bar_code,character varying,"asset, component"
public,asset_component,tag_number,character varying,"asset, component"
public,asset_component,image_guid,character varying,"asset, component, guid"
public,asset_component,type_id,bigint,"asset, component, type"
public,asset_component,owning_facility_id,bigint,"asset, component, facility"
public,asset_component,created_by_id,bigint,"asset, component"
