table_schema,table_name,row_count
public,attribute_aud,309453
public,attribute,309423
public,asset_component_attributes_aud,289935
public,asset_component_attributes,286816
public,jhi_persistent_audit_event,58656
public,revinfo,48328
public,pick_list_value,44392
public,document_aud,37673
public,search_entity,31074
public,document_documents_aud,26974
public,asset_component_aud,24689
public,file_reference,21775
public,type_aud,18668
public,space_aud,17387
public,property_set_ifc_objects,17180
public,space_attributes,16817
public,space_attributes_aud,16712
public,asset_component,15057
public,space_components_aud,13220
public,space_components,12962
public,document,10971
public,property,10857
public,document_documents,8800
public,table_definition,8604
public,localization,6778
public,file_operation,5138
public,technical_system_asset_components,4753
public,technical_system_asset_components_aud,4753
public,contact_aud,4102
public,technical_system_aud,3837
public,jhi_persistent_audit_evt_data,3724
public,type_attributes_aud,3556
public,type_attributes,3477
public,pick_list,2585
public,material,2564
public,space,2149
public,project_config_entity_t_column,2064
public,floor_aud,2063
public,property_set,1741
public,idp_ifc_object,1385
public,type,1310
public,type_documents_aud,1236
public,asset_component_documents_aud,1228
public,asset_component_documents,1218
public,type_documents,1136
public,job_aud,944
public,job,790
public,space_zones,725
public,project_config_entity_element,686
public,task_relation,657
public,space_zones_aud,626
public,databasechangelog,622
public,system_aud,575
public,unit_aud,481
public,contact,375
public,email,353
public,information_model_progress,339
public,job_attributes_aud,338
public,job_attributes,338
public,idp_document,337
public,resource_aud,303
public,job_resources,268
public,job_resources_aud,268
public,project_acl,261
public,document_attributes,240
public,document_attributes_aud,240
public,facility_aud,225
public,unit,192
public,asset_component_assembly_components,170
public,asset_component_assembly_components_aud,169
public,ai_chat,151
public,idp_property,149
public,document_annotation,147
public,technical_system,141
public,project_config_entity,133
public,facility_documents_aud,124
public,facility_documents,117
public,system_documents_aud,112
public,task_assignees,112
public,task_creators,104
public,task_comment,104
public,system_documents,101
public,unit_type,96
public,floor_documents,96
public,floor_documents_aud,94
public,task_acceptors,86
public,task_reviewers,86
public,jhi_user_authority,77
public,contact_attributes_aud,70
public,contact_attributes,70
public,technical_system_documents_aud,65
public,floor,62
public,cobie_attributes,61
public,contract_aud,53
public,jhi_user,52
public,asset_component_assembly,51
public,technical_system_documents,51
public,asset_component_assembly_aud,50
public,task,49
public,spare_aud,47
public,task_relation_delivery_information_progress,45
public,bcf_project_extensions_topic_status,42
public,bcf_project_extensions_priorities,42
public,bcf_project_extensions_topic_labels,42
public,bcf_project_extensions_stages,42
public,zone_aud,41
public,spare,39
public,spare_suppliers_aud,39
public,spare_suppliers,39
public,type_spares_aud,39
public,type_spares,39
public,zone,37
public,resource,35
public,system,32
public,floor_attributes_aud,32
public,floor_attributes,32
public,idp_pset,31
public,task_documents,31
public,bcf_project_extensions_topic_types,28
public,bcf_project_extensions_snippet_types,28
public,instruction_information_aud,26
public,mdt_pset_category,26
public,task_listeners,22
public,last_selected_viewer_object,21
public,instruction_information,21
public,system_assignees_aud,21
public,technical_system_attributes,20
public,job_documents_aud,20
public,technical_system_attributes_aud,20
public,contract_documents_aud,19
public,system_assignees,17
public,contract,15
public,contract_documents,15
public,bcf_project,14
public,bcf_project_extensions,14
public,facility,14
public,model,13
public,model_import,13
public,job_documents,12
public,idp_pset_definition_ifc_objects,11
public,facility_attributes_aud,11
public,facility_attributes,11
public,information_model_progress_task,11
public,idp_pset_definition,10
public,idp_cobie_attributes,10
public,background_task,10
public,space_documents_aud,9
public,contract_systems,9
public,contract_systems_aud,9
public,document_authorized_editors_aud,9
public,space_documents,9
public,idp_system_phase,8
public,project,7
public,idp_phase_documents_documents,6
public,zone_attributes,6
public,jhi_authority,6
public,zone_attributes_aud,6
public,api_key,6
public,idp_phase_documents,6
public,idp_definition_ifc_objects,5
public,task_relation_comment,5
public,system_reviewers_aud,5
public,system_acceptors_aud,5
public,system_reviewers,5
public,ai_chat_reaction,5
public,system_acceptors,5
public,idp_definition,5
public,qr_code,4
public,idp_phase,4
public,viewpoint_users,3
public,document_authorized_editors,3
public,idp_mdt_pset_definition_mdt_pset_categories,2
public,type_filter_definition,2
public,dashboard_entry,2
public,type_filter_template,2
public,viewpoint_models,2
public,document_download_link,2
public,idp_template,2
public,idp_mdt_pset_definition,2
public,idp_mdt_pset_definition_ifc_objects,2
public,mapping_rule_source,1
public,alert,1
public,alert_log_entry,1
public,viewpoint_user_favorite,1
public,databasechangeloglock,1
public,theme,1
public,viewer_appearance,1
public,viewpoint,1
public,mapping_rule,1
public,viewpoint_viewer_appearances,0
public,zone_documents_aud,0
public,zone_documents,0
public,idp_application_ifc_versions,0
public,idp_application,0
public,idp_application_definition,0
public,idp_application_definition_categories,0
public,idp_applicability_template,0
public,floor_impacts,0
public,floor_impacts_aud,0
public,general_individual_asset_identifier,0
public,issue_aud,0
public,acceptance,0
public,asset_component_assembly_attributes,0
public,alert_priority_aud,0
public,asset_component_assembly_attributes_aud,0
public,asset_component_assembly_documents,0
public,viewpoint_user_group_favorite,0
public,viewpoint_user_groups,0
public,alert_priority,0
public,zone_impacts,0
public,zone_impacts_aud,0
public,idp_mdt_phase_documents_documents,0
public,warranty_reminder_recipient,0
public,warranty_reminder,0
public,xml_import_entry,0
public,impact_documents,0
public,issue_attributes,0
public,issue,0
public,impact_documents_aud,0
public,impact_attributes_aud,0
public,impact,0
public,impact_attributes,0
public,impact_aud,0
public,idp_requirement,0
public,open_cde_supported_file_extensions,0
public,open_cde_file_upload,0
public,open_cde_file,0
public,open_cde_document_selection,0
public,open_cde_document,0
public,notification_setting,0
public,model_floors,0
public,mapping_rule_ifc_objects,0
public,mapping_rule_model_categories,0
public,facility_impacts,0
public,job_impacts_aud,0
public,job_impacts,0
public,log_event,0
public,data_set,0
public,data_sheet,0
public,dictionary_reference,0
public,idp_mdt_document_definition,0
public,idp_mdt_phase_documents,0
public,idp_mdt_document_definition_ifc_objects,0
public,facility_impacts_aud,0
public,issue_documents_aud,0
public,issue_attributes_aud,0
public,issue_documents,0
public,coordination_document,0
public,coordinate_attributes,0
public,coordinate,0
public,contact_impacts_aud,0
public,contact_documents_aud,0
public,contact_impacts,0
public,resource_attributes_aud,0
public,resource_attributes,0
public,project_user_group_project_roles,0
public,space_impacts,0
public,smart_data_preference,0
public,space_impacts_aud,0
public,spare_attributes,0
public,spare_documents_aud,0
public,spare_impacts,0
public,spare_attributes_aud,0
public,spare_documents,0
public,cobie_diff_summary,0
public,connection,0
public,connection_attributes,0
public,connection_attributes_aud,0
public,connection_aud,0
public,connection_documents,0
public,spare_impacts_aud,0
public,cobie_diff,0
public,connection_impacts,0
public,connection_documents_aud,0
public,connection_impacts_aud,0
public,contact_documents,0
public,data_sample,0
public,resource_documents,0
public,data_format_entry,0
public,data_format_template,0
public,resource_impacts,0
public,resource_documents_aud,0
public,resource_impacts_aud,0
public,revision_lookup,0
public,sla_time_exception,0
public,sla_time_config,0
public,project_user_group,0
public,pick_list_value_idp_ifc_object,0
public,bcf_topic_event,0
public,bcf_topic,0
public,bcf_snippet,0
public,bcf_snapshot,0
public,bcf_project_extensions_users,0
public,system_impacts,0
public,system_attributes_aud,0
public,system_attributes,0
public,supplementary_agreement,0
public,supplementary_agreement_aud,0
public,sub_project,0
public,sub_project_contacts,0
public,bcf_topic_related_topics,0
public,bcf_view_point,0
public,bcf_topic_reference_links,0
public,bcf_topic_event_container,0
public,technical_system_impacts_aud,0
public,technical_system_systems,0
public,technical_system_systems_aud,0
public,bcf_comment,0
public,bcf_comment_event,0
public,bcf_comment_event_container,0
public,bcf_component,0
public,bcf_topic_labels,0
public,system_impacts_aud,0
public,bcf_visibility,0
public,system_watchers_aud,0
public,system_watchers,0
public,table_definition_value,0
public,task_relation_template,0
public,task_time_recording,0
public,technical_system_impacts,0
public,bcf_point,0
public,bcf_perspective_camera,0
public,bcf_orthogonal_camera,0
public,bcf_line,0
public,bcf_file,0
public,bcf_document_reference,0
public,bcf_document,0
public,bcf_direction,0
public,bcf_components_container,0
public,type_assembly_impacts,0
public,type_assembly_documents_aud,0
public,type_assembly,0
public,type_assembly_attributes,0
public,type_assembly_attributes_aud,0
public,type_assembly_aud,0
public,type_assembly_documents,0
public,asset_component_assembly_impacts_aud,0
public,asset_component_assembly_impacts,0
public,asset_component_assembly_documents_aud,0
public,type_assembly_types_aud,0
public,type_assembly_types,0
public,type_assembly_impacts_aud,0
public,bcf_bitmap,0
public,asset_component_impacts,0
public,bcf_clipping_plane,0
public,bcf_coloring,0
public,asset_component_impacts_aud,0
public,type_impacts,0
public,user_group_jhi_users,0
public,user_group,0
public,type_impacts_aud,0
public,viewer_settings,0
