table_schema,table_name,table_type
public,acceptance,BASE TABLE
public,ai_chat,BASE TABLE
public,ai_chat_reaction,BASE TABLE
public,alert,BASE TABLE
public,alert_log_entry,BASE TABLE
public,alert_priority,BASE TABLE
public,alert_priority_aud,BASE TABLE
public,api_key,BASE TABLE
public,asset_component,BASE TABLE
public,asset_component_assembly,BASE TABLE
public,asset_component_assembly_attributes,BASE TABLE
public,asset_component_assembly_attributes_aud,BASE TABLE
public,asset_component_assembly_aud,BASE TABLE
public,asset_component_assembly_components,BASE TABLE
public,asset_component_assembly_components_aud,BASE TABLE
public,asset_component_assembly_documents,BASE TABLE
public,asset_component_assembly_documents_aud,BASE TABLE
public,asset_component_assembly_impacts,BASE TABLE
public,asset_component_assembly_impacts_aud,BASE TABLE
public,asset_component_attributes,BASE TABLE
public,asset_component_attributes_aud,BASE TABLE
public,asset_component_aud,BASE TABLE
public,asset_component_documents,BASE TABLE
public,asset_component_documents_aud,BASE TABLE
public,asset_component_impacts,BASE TABLE
public,asset_component_impacts_aud,BASE TABLE
public,attribute,BASE TABLE
public,attribute_aud,BASE TABLE
public,background_task,BASE TABLE
public,bcf_bitmap,BASE TABLE
public,bcf_clipping_plane,BASE TABLE
public,bcf_coloring,BASE TABLE
public,bcf_comment,BASE TABLE
public,bcf_comment_event,BASE TABLE
public,bcf_comment_event_container,BASE TABLE
public,bcf_component,BASE TABLE
public,bcf_components_container,BASE TABLE
public,bcf_direction,BASE TABLE
public,bcf_document,BASE TABLE
public,bcf_document_reference,BASE TABLE
public,bcf_file,BASE TABLE
public,bcf_line,BASE TABLE
public,bcf_orthogonal_camera,BASE TABLE
public,bcf_perspective_camera,BASE TABLE
public,bcf_point,BASE TABLE
public,bcf_project,BASE TABLE
public,bcf_project_extensions,BASE TABLE
public,bcf_project_extensions_priorities,BASE TABLE
public,bcf_project_extensions_snippet_types,BASE TABLE
public,bcf_project_extensions_stages,BASE TABLE
public,bcf_project_extensions_topic_labels,BASE TABLE
public,bcf_project_extensions_topic_status,BASE TABLE
public,bcf_project_extensions_topic_types,BASE TABLE
public,bcf_project_extensions_users,BASE TABLE
public,bcf_snapshot,BASE TABLE
public,bcf_snippet,BASE TABLE
public,bcf_topic,BASE TABLE
public,bcf_topic_event,BASE TABLE
public,bcf_topic_event_container,BASE TABLE
public,bcf_topic_labels,BASE TABLE
public,bcf_topic_reference_links,BASE TABLE
public,bcf_topic_related_topics,BASE TABLE
public,bcf_view_point,BASE TABLE
public,bcf_visibility,BASE TABLE
public,cobie_attributes,BASE TABLE
public,cobie_diff,BASE TABLE
public,cobie_diff_summary,BASE TABLE
public,connection,BASE TABLE
public,connection_attributes,BASE TABLE
public,connection_attributes_aud,BASE TABLE
public,connection_aud,BASE TABLE
public,connection_documents,BASE TABLE
public,connection_documents_aud,BASE TABLE
public,connection_impacts,BASE TABLE
public,connection_impacts_aud,BASE TABLE
public,contact,BASE TABLE
public,contact_attributes,BASE TABLE
public,contact_attributes_aud,BASE TABLE
public,contact_aud,BASE TABLE
public,contact_documents,BASE TABLE
public,contact_documents_aud,BASE TABLE
public,contact_impacts,BASE TABLE
public,contact_impacts_aud,BASE TABLE
public,contract,BASE TABLE
public,contract_aud,BASE TABLE
public,contract_documents,BASE TABLE
public,contract_documents_aud,BASE TABLE
public,contract_systems,BASE TABLE
public,contract_systems_aud,BASE TABLE
public,coordinate,BASE TABLE
public,coordinate_attributes,BASE TABLE
public,coordination_document,BASE TABLE
public,dashboard_entry,BASE TABLE
public,data_format_entry,BASE TABLE
public,data_format_template,BASE TABLE
public,data_sample,BASE TABLE
public,data_set,BASE TABLE
public,data_sheet,BASE TABLE
public,databasechangelog,BASE TABLE
public,databasechangeloglock,BASE TABLE
public,dictionary_reference,BASE TABLE
public,document,BASE TABLE
public,document_annotation,BASE TABLE
public,document_attributes,BASE TABLE
public,document_attributes_aud,BASE TABLE
public,document_aud,BASE TABLE
public,document_authorized_editors,BASE TABLE
public,document_authorized_editors_aud,BASE TABLE
public,document_documents,BASE TABLE
public,document_documents_aud,BASE TABLE
public,document_download_link,BASE TABLE
public,email,BASE TABLE
public,facility,BASE TABLE
public,facility_attributes,BASE TABLE
public,facility_attributes_aud,BASE TABLE
public,facility_aud,BASE TABLE
public,facility_documents,BASE TABLE
public,facility_documents_aud,BASE TABLE
public,facility_impacts,BASE TABLE
public,facility_impacts_aud,BASE TABLE
public,file_operation,BASE TABLE
public,file_reference,BASE TABLE
public,floor,BASE TABLE
public,floor_attributes,BASE TABLE
public,floor_attributes_aud,BASE TABLE
